id;data_criacao;usuario_criacao_acao;pendente;data_execucao_acao;ativa;foto;foto_content_type;observacoes
1;2022-03-18;Architect COM;false;2022-03-18;false;../fake-data/blob/hipster.png;image/png;Bedfordshire
2;2022-03-18;Steel;false;2022-03-18;true;../fake-data/blob/hipster.png;image/png;pixel Future-proofed array
3;2022-03-18;Wooden;true;2022-03-18;true;../fake-data/blob/hipster.png;image/png;Neck SQL intuitive
4;2022-03-18;Romania parse;false;2022-03-18;true;../fake-data/blob/hipster.png;image/png;auxiliary empower Directives
5;2022-03-17;Rustic;false;2022-03-18;false;../fake-data/blob/hipster.png;image/png;Louisiana Planner Awesome
6;2022-03-18;purple;true;2022-03-18;true;../fake-data/blob/hipster.png;image/png;Personal mobile Tools
7;2022-03-18;Berkshire;true;2022-03-18;false;../fake-data/blob/hipster.png;image/png;system
8;2022-03-18;turquoise;false;2022-03-17;false;../fake-data/blob/hipster.png;image/png;Account sensor
9;2022-03-18;Human recontextualize Checking;true;2022-03-18;false;../fake-data/blob/hipster.png;image/png;protocol Automotive Cambridgeshire
10;2022-03-18;California;false;2022-03-18;false;../fake-data/blob/hipster.png;image/png;River JSON
